synced_at,source_env,bot_group,strategy,model,symbol,side,qty,filled_qty,filled_avg_price,filled_at,submitted_at,status,order_type,order_class,time_in_force,order_id,client_order_id
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,AMD,sell,1,0,,,2026-05-12 13:32:06.216015+00:00,canceled,limit,bracket,day,bc4dcef9-731f-4984-88b9-64e461fbe8b8,5f235ff9-8734-4cb1-95ed-4c25d57d9119
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,AMD,sell,1,1,450.72,2026-05-12 13:31:32.757611+00:00,2026-05-12 13:30:44.803400+00:00,filled,stop,bracket,day,6040c4b4-2bbe-46c1-9b66-ca38b514e669,b29284be-66b5-4619-bea4-6e3f70e423ec
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,AMD,sell,1,0,,,2026-05-12 13:30:25.262764+00:00,canceled,limit,bracket,day,36f7b4b9-0440-46ee-b5e5-2a9c7943f922,27fcafe8-5fc1-481a-a396-e1135e1bff78
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,AMD,buy,1,1,447.12,2026-05-12 13:30:11.731620+00:00,2026-05-12 08:01:14.036730+00:00,filled,market,bracket,day,9a39e945-1c18-4f1e-a396-11fb7404f1a9,dbeedddc-ef05-49c6-9222-f773ca691187
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,AMD,buy,1,1,452.85,2026-05-12 13:32:06.205647+00:00,2026-05-12 08:01:14.032867+00:00,filled,market,bracket,day,d9456a08-0908-4283-9b75-ae88e402233b,e95dc1cb-9b82-4f84-9c14-70d66b8bf50b
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,AMD,sell,2,2,422.47,2026-05-08 13:33:28.187692+00:00,2026-05-08 13:32:07.521387+00:00,filled,limit,bracket,day,dfe09944-fcad-4447-8246-bdfdef5d8b68,328a3088-398b-4ee5-9872-aefa71c1e33c
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,AMD,sell,2,2,423.585,2026-05-08 13:32:57.036542+00:00,2026-05-08 13:31:26.187110+00:00,filled,limit,bracket,day,a2468c77-8579-4d87-91c1-acd7692d8112,49a58130-530f-49d3-bc26-a24f6e3aa755
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,AMD,buy,2,2,423.05,2026-05-08 13:32:07.507335+00:00,2026-05-08 08:00:45.243861+00:00,filled,market,bracket,day,b5cdb9d1-84c7-4b6f-ad3f-a41fcbf3c558,4771f2d9-2a9f-4ac9-8d31-8c0f8e0d8750
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,AMD,buy,2,2,424.45,2026-05-08 13:31:26.168357+00:00,2026-05-08 08:00:45.196207+00:00,filled,market,bracket,day,d236be85-e81a-4b97-be99-b8ce3fc57186,36aec001-2b09-47a1-b843-a91da1091b75
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,AMD,sell,2,0,,,2026-05-07 23:11:31.836297+00:00,canceled,stop,bracket,day,838af194-69b5-49b3-9ebf-24bef75b34d1,2d6f7a74-815d-4d2e-957b-bd202d6af77b
